Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,labels
-57.2475,-58.074999999999996,-59.6875,-59.153333333333336,-59.964999999999996,-59.2825,-59.89,0
-56.44,-59.2775,-61.625,-56.50333333333333,-62.4825,-61.74000000000001,-62.480000000000004,0
-55.12499999999999,-56.4375,-60.1825,-56.14000000000001,-58.5625,-58.58,-58.64,0
-58.3975,-59.1725,-66.32000000000001,-61.39333333333334,-61.7675,-62.9075,-62.245000000000005,0
-79.7925,-81.3275,-82.4325,-79.52333333333333,-82.4725,-82.78999999999999,-83.34,7
-57.7475,-58.8975,-61.7625,-58.843333333333334,-61.3875,-61.065,-61.82,0
-56.21,-60.589999999999996,-61.9025,-54.93,-60.905,-63.7025,-62.125,0
-61.84,-62.4225,-64.44999999999999,-63.32,-63.7875,-62.97,-63.195,0
-58.53,-58.8275,-59.46,-59.63666666666666,-59.205,-59.587500000000006,-59.129999999999995,0
-70.32249999999999,-71.13,-73.6625,-70.72333333333334,-72.5675,-73.37,-73.16999999999999,5
-60.197500000000005,-64.82000000000001,-65.5475,-52.48,-56.417500000000004,-57.989999999999995,-55.425,0
-59.49250000000001,-62.285,-65.5775,-59.74666666666667,-62.6625,-65.39999999999999,-63.44,0
-73.44500000000001,-71.045,-67.84,-76.81,-70.9125,-68.13,-69.655,2
-53.235,-56.205,-57.417500000000004,-57.51666666666667,-63.365,-58.9125,-62.7,0
-63.275,-59.54,-62.345,-68.40333333333332,-58.155,-59.122499999999995,-58.105000000000004,0
-61.815,-60.025,-59.404999999999994,-64.96,-58.8275,-57.7375,-57.755,6
-73.0975,-72.5425,-59.2025,-72.79333333333334,-65.835,-61.605,-64.565,1
-58.87749999999999,-58.9675,-62.1725,-59.9,-60.7325,-62.262499999999996,-61.945,0
-52.607499999999995,-56.44,-60.42,-54.223333333333336,-58.3075,-61.0,-60.265,0
-55.635,-59.195,-62.56,-55.843333333333334,-59.760000000000005,-63.07,-61.01,0
-61.0125,-58.2125,-60.995000000000005,-65.22333333333334,-57.019999999999996,-57.9275,-56.66,6
-67.7225,-66.9125,-68.34,-69.52333333333333,-67.8675,-68.6925,-68.61500000000001,5
-73.15750000000001,-74.3075,-70.9,-75.53333333333333,-73.6975,-71.375,-71.725,5
-54.099999999999994,-56.265,-66.105,-56.04333333333333,-60.3325,-67.38,-64.11,0
-60.475,-60.589999999999996,-63.455,-62.13666666666666,-62.2275,-63.787499999999994,-63.495000000000005,0
-56.7975,-58.105000000000004,-61.385000000000005,-58.57333333333333,-60.065000000000005,-59.285000000000004,-59.565,0
-60.515,-58.805,-64.13,-65.02,-59.8125,-62.275,-60.96,0
-57.97,-59.515,-62.7675,-59.20333333333334,-62.245,-60.902499999999996,-61.56,0
-61.997499999999995,-58.26,-56.0275,-66.06,-56.25,-55.2975,-55.599999999999994,6
-55.307500000000005,-58.765,-64.97,-52.79,-62.2775,-65.3125,-62.769999999999996,0
-56.7025,-58.975,-63.7575,-57.01333333333333,-59.8425,-62.99,-60.94,0
-58.712500000000006,-59.4475,-61.0025,-60.413333333333334,-61.035,-59.88249999999999,-60.305,0
-66.02000000000001,-63.72,-59.065,-69.00333333333333,-62.22,-59.980000000000004,-61.265,1
-60.22500000000001,-61.295,-62.5625,-62.169999999999995,-62.9825,-61.212500000000006,-61.85,0
-65.8275,-66.21000000000001,-63.232499999999995,-68.06333333333333,-68.3875,-65.4925,-68.495,1
-54.4075,-58.739999999999995,-63.5775,-54.56999999999999,-60.3775,-63.425,-60.775,0
-54.75000000000001,-61.817499999999995,-64.4375,-55.18666666666667,-68.05,-66.20000000000002,-66.36500000000001,0
-55.71,-59.900000000000006,-62.455,-55.29,-60.214999999999996,-62.5625,-62.010000000000005,0
-59.125,-55.425,-58.19500000000001,-62.98,-54.449999999999996,-56.035000000000004,-55.07,4
-58.542500000000004,-58.6925,-59.987500000000004,-59.24333333333334,-59.11749999999999,-59.9125,-59.46,0
-59.64,-62.6475,-65.7625,-59.629999999999995,-63.4675,-64.97,-63.489999999999995,0
-68.9525,-66.8625,-58.06999999999999,-72.21666666666665,-64.8975,-60.78,-63.205,1
-53.25,-53.0575,-55.86,-54.343333333333334,-54.027499999999996,-55.4425,-54.94,4
-58.925,-60.0175,-61.287499999999994,-59.546666666666674,-60.745,-60.52,-60.870000000000005,0
-51.6575,-55.4725,-62.085,-53.38333333333333,-57.192499999999995,-60.885,-59.375,0
-74.88499999999999,-74.0125,-68.7025,-78.96333333333334,-73.8575,-70.355,-72.41,2
-66.16749999999999,-67.605,-70.48,-67.96,-70.135,-68.95500000000001,-69.58000000000001,5
-53.245,-57.79,-63.235,-51.53,-59.342499999999994,-61.915,-61.355000000000004,0
-78.38,-76.41999999999999,-70.80000000000001,-81.3,-75.045,-71.7025,-73.255,2
-64.78,-62.68,-55.55,-68.82666666666667,-60.76,-56.6,-58.675,6
-55.1025,-54.7925,-55.6925,-57.053333333333335,-55.92,-56.792500000000004,-56.975,4
-59.540000000000006,-58.8775,-60.985,-64.68333333333332,-60.43,-60.5075,-60.685,0
-73.835,-72.1625,-64.0,-76.16666666666667,-69.495,-66.065,-67.755,2
-54.11,-56.135,-61.375,-56.07333333333333,-57.945,-60.6,-58.489999999999995,0
-69.88499999999999,-69.88749999999999,-68.41499999999999,-72.23333333333333,-70.675,-69.1675,-70.38,5
-56.435,-52.9525,-56.5775,-61.086666666666666,-52.465,-54.55,-53.45,4
-69.30250000000001,-67.5325,-61.4025,-71.95666666666666,-65.8325,-62.21,-63.575,1
-55.6025,-56.324999999999996,-61.4,-56.57666666666666,-58.7475,-61.1425,-60.459999999999994,0
-60.2475,-52.83,-57.5375,-55.870000000000005,-53.237500000000004,-67.32,-58.334999999999994,0
-54.824999999999996,-58.25,-64.07,-56.45666666666667,-59.769999999999996,-63.065,-61.455,0
-64.115,-62.4075,-55.74,-66.27,-57.36749999999999,-53.595,-55.005,6
-79.79,-81.32499999999999,-82.4,-79.52666666666666,-82.5375,-82.8375,-83.425,7
-59.205,-57.825,-58.8525,-62.629999999999995,-57.5275,-57.2425,-56.975,6
-54.625,-57.005,-60.4925,-56.21,-59.307500000000005,-59.155,-58.915000000000006,0
-72.4625,-70.81,-64.79249999999999,-74.02,-68.2875,-66.025,-67.08,2
-60.865,-58.4125,-59.71,-64.51666666666667,-57.99249999999999,-58.935,-58.495000000000005,6
-65.5475,-70.31,-77.1175,-61.98,-73.3775,-76.22999999999999,-75.60499999999999,5
-61.1775,-60.097500000000004,-57.97500000000001,-61.44,-57.375,-55.3725,-55.400000000000006,6
-57.927499999999995,-55.81,-58.82,-61.97,-55.7925,-56.69,-55.89,4
-62.332499999999996,-59.787499999999994,-55.2275,-65.81333333333333,-56.7675,-54.2,-54.72,6
-58.785000000000004,-61.667500000000004,-65.5325,-59.02333333333333,-62.092499999999994,-65.35749999999999,-63.455,0
-79.8,-81.34750000000001,-82.405,-79.53666666666668,-82.5575,-82.8575,-83.455,7
-57.675000000000004,-58.974999999999994,-61.79750000000001,-59.129999999999995,-61.552499999999995,-61.0825,-61.39,0
-59.4225,-59.4125,-58.864999999999995,-60.343333333333334,-59.92,-59.87,-60.3,0
-65.14750000000001,-63.6825,-58.522499999999994,-66.66000000000001,-62.442499999999995,-59.665000000000006,-61.165,1
-69.3975,-68.6425,-62.6025,-70.93666666666667,-66.75,-64.3475,-65.555,1
-60.434999999999995,-64.13,-70.96249999999999,-58.96666666666667,-66.22,-69.09,-68.24000000000001,3
-72.27250000000001,-72.16749999999999,-63.79,-73.88666666666666,-71.3825,-67.015,-69.81,2
-59.7875,-58.975,-59.9225,-60.97,-59.45,-60.3175,-60.2,0
-59.432500000000005,-59.645,-63.30499999999999,-60.63999999999999,-61.55,-63.4975,-63.09,0
-57.272499999999994,-58.7425,-67.3575,-63.943333333333335,-68.6575,-68.25,-75.36500000000001,0
-56.2425,-58.519999999999996,-61.162499999999994,-57.67666666666667,-60.735,-59.767500000000005,-59.595,0
-67.845,-67.9975,-70.81750000000001,-70.64,-69.7275,-68.88749999999999,-69.25,5
-57.9675,-58.864999999999995,-63.4575,-60.46,-60.905,-60.675,-60.565,0
